timestamp,pm10,pm2_5,co,no2,so2,ozone,dust,uv_index,temperature,humidity,wind_speed,aqi,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,pm2_5_lag_1h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_24h,aqi_lag_1h,aqi_lag_24h,temperature_lag_1h,temperature_lag_24h,humidity_lag_1h,humidity_lag_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,aqi_rolling_3h,aqi_rolling_24h,aqi_change_rate,pm2_5_change_rate,temp_humidity
2026-01-25 00:00:00,16.6,14.0,420.0,10.4,9.1,73.0,4.0,0.0,14.2,49,20.6,54.077253218884124,0,25,1,6,1,0.0,1.0,0.49999999999999994,0.8660254037844387,14.0,0.0,16.6,0.0,54.077253218884124,0.0,14.2,0.0,49.0,0.0,14.0,14.0,16.6,16.6,54.077253218884124,54.077253218884124,1.2875536480686662,0.5999999999999996,695.8
2026-01-25 01:00:00,17.2,14.6,403.0,7.9,8.5,76.0,4.0,0.0,14.0,49,21.7,55.36480686695279,1,25,1,6,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,14.0,0.0,16.6,0.0,54.077253218884124,0.0,14.2,0.0,49.0,0.0,14.3,14.3,16.9,16.9,54.72103004291846,54.72103004291846,1.2875536480686662,0.5999999999999996,686.0
2026-01-25 02:00:00,18.2,15.9,393.0,6.0,8.2,79.0,4.0,0.0,14.0,47,23.0,58.15450643776824,2,25,1,6,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,14.6,0.0,17.2,0.0,55.36480686695279,0.0,14.0,0.0,49.0,0.0,14.833333333333334,14.833333333333334,17.333333333333332,17.333333333333332,55.86552217453505,55.86552217453505,2.7896995708154506,1.3000000000000007,658.0
2026-01-25 03:00:00,19.3,17.4,376.0,4.7,8.3,81.0,4.0,0.0,13.6,47,23.1,61.37339055793991,3,25,1,6,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,15.9,0.0,18.2,0.0,58.15450643776824,0.0,14.0,0.0,47.0,0.0,15.966666666666667,15.475,18.233333333333334,17.825,58.29756795422031,57.242489270386265,3.2188841201716727,1.4999999999999982,639.1999999999999
2026-01-25 04:00:00,20.9,18.9,366.0,4.1,8.7,82.0,5.0,0.0,13.1,49,24.8,64.5922746781116,4,25,1,6,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,17.4,0.0,19.3,0.0,61.37339055793991,0.0,13.6,0.0,47.0,0.0,17.4,16.16,19.466666666666665,18.44,61.37339055793992,58.71244635193134,3.21888412017168,1.5,641.9
2026-01-25 05:00:00,22.8,20.2,397.0,4.7,9.2,82.0,5.0,0.0,12.4,51,19.7,67.38197424892704,5,25,1,6,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,18.9,0.0,20.9,0.0,64.5922746781116,0.0,13.1,0.0,49.0,0.0,18.833333333333332,16.833333333333332,21.0,19.166666666666668,64.44921316165951,60.15736766809729,2.7896995708154435,1.3000000000000007,632.4
2026-01-25 06:00:00,24.9,21.5,514.0,7.8,9.7,78.0,6.0,0.0,12.1,54,20.0,70.1716738197425,6,25,1,6,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,20.2,0.0,22.8,0.0,67.38197424892704,0.0,12.4,0.0,51.0,0.0,20.2,17.5,22.866666666666664,19.985714285714288,67.38197424892705,61.58798283261803,2.7896995708154577,1.3000000000000007,653.4
2026-01-25 07:00:00,27.5,23.7,673.0,12.3,10.3,73.0,6.0,0.0,11.9,55,19.8,74.89270386266095,7,25,1,6,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,21.5,0.0,24.9,0.0,70.1716738197425,0.0,12.1,0.0,54.0,0.0,21.8,18.275,25.066666666666663,20.925,70.81545064377683,63.251072961373396,4.721030042918457,2.1999999999999993,654.5
2026-01-25 08:00:00,30.4,26.3,769.0,14.8,10.8,72.0,7.0,0.2,11.9,55,20.4,80.47210300429185,8,25,1,6,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,23.7,0.0,27.5,0.0,74.89270386266095,0.0,11.9,0.0,55.0,0.0,23.833333333333332,19.166666666666668,27.599999999999998,21.977777777777778,75.17882689556511,65.1645207439199,5.579399141630901,2.6000000000000014,654.5
2026-01-25 09:00:00,31.8,27.5,747.0,13.7,11.2,77.0,8.0,1.0,12.9,50,23.2,83.04721030042919,9,25,1,6,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,26.3,0.0,30.4,0.0,80.47210300429185,0.0,11.9,0.0,55.0,0.0,25.833333333333332,20.0,29.900000000000002,22.96,79.47067238912733,66.95278969957081,2.5751072961373325,1.1999999999999993,645.0
2026-01-25 10:00:00,31.8,26.3,664.0,10.6,11.6,86.0,10.0,2.35,14.8,42,28.4,80.47210300429185,10,25,1,6,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,27.5,0.0,31.8,0.0,83.04721030042919,0.0,12.9,0.0,50.0,0.0,26.7,20.572727272727274,31.333333333333332,23.763636363636362,81.3304721030043,68.18181818181819,-2.5751072961373325,-1.1999999999999993,621.6
2026-01-25 11:00:00,29.2,23.1,582.0,8.1,11.7,95.0,11.0,3.95,16.7,35,33.7,73.60515021459229,11,25,1,6,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,26.3,0.0,31.8,0.0,80.47210300429185,0.0,14.8,0.0,42.0,0.0,25.633333333333336,20.783333333333335,30.933333333333334,24.21666666666667,79.04148783977111,68.63376251788269,-6.8669527896995675,-3.1999999999999993,584.5
2026-01-25 12:00:00,25.7,20.4,514.0,6.7,11.5,105.0,10.0,5.05,18.3,31,34.0,67.81115879828326,12,25,1,6,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,23.1,0.0,29.2,0.0,73.60515021459229,0.0,16.7,0.0,35.0,0.0,23.26666666666667,20.753846153846155,28.900000000000002,24.33076923076923,73.96280400572248,68.57048530868273,-5.7939914163090265,-2.700000000000003,567.3000000000001
2026-01-25 13:00:00,22.8,18.3,447.0,5.7,11.1,116.0,8.0,5.2,19.5,29,34.4,63.30472103004292,13,25,1,6,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,20.4,0.0,25.7,0.0,67.81115879828326,0.0,18.3,0.0,31.0,0.0,20.599999999999998,20.57857142857143,25.900000000000002,24.22142857142857,68.2403433476395,68.19435928877989,-4.506437768240339,-2.099999999999998,565.5
2026-01-25 14:00:00,20.9,16.9,414.0,5.6,10.9,123.0,7.0,4.2,20.2,29,33.0,60.30042918454936,14,25,1,6,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,18.3,0.0,22.8,0.0,63.30472103004292,0.0,19.5,0.0,29.0,0.0,18.53333333333333,20.333333333333332,23.13333333333333,24.0,63.805436337625174,67.6680972818312,-3.0042918454935617,-1.4000000000000021,585.8
2026-01-25 15:00:00,20.1,16.5,431.0,6.2,11.2,125.0,6.0,2.7,20.5,28,31.7,59.442060085836914,15,25,1,6,1,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,16.9,0.0,20.9,0.0,60.30042918454936,0.0,20.2,0.0,29.0,0.0,17.233333333333334,20.09375,21.266666666666666,23.75625,61.01573676680973,67.15396995708154,-0.8583690987124442,-0.3999999999999986,574.0
2026-01-25 16:00:00,19.4,16.1,481.0,7.7,11.7,122.0,6.0,1.25,20.5,28,29.6,58.58369098712447,16,25,1,6,1,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,16.5,0.0,20.1,0.0,59.442060085836914,0.0,20.5,0.0,28.0,0.0,16.5,19.858823529411765,20.133333333333336,23.5,59.442060085836914,66.64983590002525,-0.8583690987124442,-0.3999999999999986,574.0
2026-01-25 17:00:00,19.6,16.4,541.0,10.6,12.1,116.0,6.0,0.35,20.0,29,28.0,59.227467811158796,17,25,1,6,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,16.1,0.0,19.4,0.0,58.58369098712447,0.0,20.5,0.0,28.0,0.0,16.333333333333332,19.666666666666668,19.7,23.283333333333335,59.08440629470673,66.23748211731044,0.643776824034326,0.29999999999999716,580.0
2026-01-25 18:00:00,21.7,19.3,620.0,16.6,12.3,102.0,6.0,0.0,19.1,31,25.6,65.45064377682404,18,25,1,6,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,16.4,0.0,19.6,0.0,59.227467811158796,0.0,20.0,0.0,29.0,0.0,17.266666666666666,19.647368421052633,20.233333333333334,23.2,61.08726752503577,66.19606957307433,6.2231759656652414,2.900000000000002,592.1
2026-01-25 19:00:00,23.7,21.4,710.0,24.1,12.5,84.0,5.0,0.0,18.2,34,21.7,69.95708154506437,19,25,1,6,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,19.3,0.0,21.7,0.0,65.45064377682404,0.0,19.1,0.0,31.0,0.0,19.033333333333335,19.735,21.666666666666668,23.225,64.87839771101574,66.38412017167381,4.506437768240332,2.099999999999998,618.8
2026-01-25 20:00:00,23.7,21.2,755.0,28.4,12.7,71.0,5.0,0.0,17.3,39,18.8,69.52789699570816,20,25,1,6,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,21.4,0.0,23.7,0.0,69.95708154506437,0.0,18.2,0.0,34.0,0.0,20.633333333333336,19.804761904761904,23.03333333333333,23.247619047619047,68.31187410586551,66.53382382996116,-0.42918454935620787,-0.1999999999999993,674.7
2026-01-25 21:00:00,23.5,20.8,724.0,26.9,13.0,67.0,5.0,0.0,16.6,44,17.9,68.66952789699572,21,25,1,6,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,21.2,0.0,23.7,0.0,69.52789699570816,0.0,17.3,0.0,39.0,0.0,21.133333333333333,19.849999999999998,23.633333333333336,23.259090909090908,69.38483547925608,66.63090128755366,-0.8583690987124442,-0.3999999999999986,730.4000000000001
2026-01-25 22:00:00,23.9,20.9,650.0,22.3,13.3,68.0,6.0,0.0,15.9,48,17.3,68.88412017167383,22,25,1,6,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,20.8,0.0,23.5,0.0,68.66952789699572,0.0,16.6,0.0,44.0,0.0,20.966666666666665,19.895652173913046,23.7,23.286956521739132,69.0271816881259,66.72886732599366,0.21459227467811104,0.09999999999999787,763.2
2026-01-25 23:00:00,24.5,21.3,576.0,17.8,13.6,71.0,6.0,0.0,15.2,52,18.0,69.74248927038627,23,25,1,6,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,20.9,0.0,23.9,0.0,68.88412017167383,0.0,15.9,0.0,48.0,0.0,21.0,19.954166666666666,23.96666666666667,23.337500000000002,69.09871244635194,66.85443490701002,0.8583690987124442,0.40000000000000213,790.4
